grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality
463,10,2,37.428692170614504,47.09347864138974,0.3431936502456665,0.3381613790988922,0.09358972311019897,1.0,0.34927234053611755,0.34927234053611755,0.0,0.25,0.30450621247291565,0.30450621247291565,0.34622671984773346,both,0.00607869029045105,0.11675508320331572,both_low,False,False
464,10,3,37.43527793920212,47.09356882067083,0.552704393863678,0.5500809550285339,0.2417663335800171,1.0,0.11616426706314087,0.11616426706314087,0.0,0.25,-0.07292483747005463,-0.07292483747005463,0.2872390779243771,both,0.4365401268005371,0.41807808876037594,s2_high_viirs_low,False,False
465,10,4,37.44186373959208,47.09365862141517,0.18718022108078003,0.07631804049015045,0.24576294422149658,1.0,0.19882084429264069,0.19882084429264069,0.0,0.25,0.16106803715229034,0.16106803715229034,0.19293373675619102,both,0.011640623211860657,0.12064843624830245,both_low,False,False
466,10,5,37.4484495716508,47.09374804361812,0.029551653191447258,0.0,0.05194849148392677,1.0,0.30633530020713806,0.30633530020713806,0.0,0.25,0.338028222322464,0.338028222322464,0.10391486482292144,both,0.2767836470156908,0.3062485529109835,both_low,False,False
467,10,6,37.455035435244675,47.09383708727507,0.03265376761555672,0.0,0.06779120862483978,1.0,0.37013930082321167,0.37013930082321167,0.0,0.25,0.4548279643058777,0.4548279643058777,0.12345538727398372,both,0.33748553320765495,0.34873987324535843,both_low,False,False
468,10,7,37.461621330240135,47.0939257523814,0.058678410947322845,0.031165603548288345,0.0695599764585495,1.0,0.3519965410232544,0.3519965410232544,0.0,0.25,0.43036356568336487,0.43036356568336487,0.1554153414174077,both,0.29331813007593155,0.3178226910531521,both_low,False,False
469,10,8,37.468207256503575,47.09401403893252,0.05638029798865318,0.0099638095125556,0.08271323144435883,1.0,0.4191798269748688,0.4191798269748688,0.0,0.25,0.5262364745140076,0.5262364745140076,0.17194964130191914,both,0.3627995289862156,0.36645967029035087,both_low,False,False
470,10,9,37.4747932139014,47.09410194692387,0.004713717848062515,0.0,0.03702845796942711,1.0,0.43707314133644104,0.43707314133644104,0.0,0.25,0.5514585375785828,0.5514585375785828,0.05717298593483171,both,0.4323594234883785,0.41515159644186495,both_low,False,False
471,10,10,37.4813792023,47.09418947635092,0.038037799298763275,0.0,0.0800245851278305,1.0,0.5138024687767029,0.5138024687767029,0.0,0.25,0.6558469533920288,0.6558469533920288,0.169723880667683,both,0.4757646694779396,0.44553526863455767,s2_low_viirs_high,False,False
472,10,11,37.487965221565766,47.094276627209126,0.08030176907777786,0.044160760939121246,0.09519464522600174,1.0,0.6277971267700195,0.6277971267700195,0.0,0.25,0.8166564702987671,0.8166564702987671,0.277331318384027,both,0.5474953576922417,0.4957467503845691,s2_low_viirs_high,False,False
473,10,12,37.49455127156511,47.094363399494,0.044995442032814026,0.006796475034207106,0.06943020969629288,1.0,0.6728012561798096,0.6728012561798096,0.0,0.25,0.8805438280105591,0.8805438280105591,0.23737299187538005,both,0.6278058141469955,0.5519640699028968,s2_low_viirs_high,False,False
474,10,13,37.501137352164385,47.09444979320102,0.013584279455244541,0.0,0.030119774863123894,0.4816,0.7069033980369568,0.7069033980369568,0.0,0.25,0.9347091317176819,0.9347091317176819,0.15415383655684656,both,0.6933191185817122,0.6755833830071984,s2_low_viirs_high,False,False
475,10,14,37.50772346322999,47.094535808325766,0.015913499519228935,0.0,0.035383567214012146,0.1408,0.7139169573783875,0.7139169573783875,0.0,0.25,0.9458469748497009,0.9458469748497009,0.16727967190320922,both,0.6980034578591585,0.7299824205014109,s2_low_viirs_high,True,False
476,10,15,37.5143096046283,47.09462144486376,0.04241964593529701,0.012332523241639137,0.062101975083351135,0.8352,0.7172234654426575,0.7172234654426575,0.0,0.25,0.9514043927192688,0.9514043927192688,0.2510474310984355,both,0.6748038195073605,0.6095826736551523,s2_low_viirs_high,False,False
477,10,16,37.52089577622569,47.09470670281058,0.0542040653526783,0.027526965364813805,0.0689741000533104,1.0,0.7269865274429321,0.7269865274429321,0.0,0.25,0.967778205871582,0.967778205871582,0.2809120465355267,both,0.6727824620902538,0.5834477234631776,s2_low_viirs_high,False,False
478,10,17,37.52748197788853,47.09479158216182,0.03125021979212761,0.0009052944369614124,0.05443189665675163,1.0,0.7207701206207275,0.7207701206207275,0.0,0.25,0.9572678804397583,0.9572678804397583,0.22394071958018613,both,0.6895199008285999,0.5951639305800199,s2_low_viirs_high,False,False
479,10,18,37.53406820948318,47.09487608291308,0.028587285429239273,0.0,0.0614846870303154,0.9936,0.7229043245315552,0.7229043245315552,0.0,0.25,0.9608542323112488,0.9608542323112488,0.21696562528257624,both,0.6943170391023159,0.5994819273716211,s2_low_viirs_high,False,False
480,10,19,37.540654470876,47.09496020506001,0.029982784762978554,0.0066751753911376,0.04928746074438095,0.784,0.7295554280281067,0.7295554280281067,0.0,0.25,0.9721522927284241,0.9721522927284241,0.22406003336557853,both,0.6995726432651281,0.6346008502855897,s2_low_viirs_high,False,False
481,10,20,37.54724076193336,47.09504394859824,0.03641662746667862,0.011776410043239594,0.053661447018384933,1.0,0.7294294238090515,0.7294294238090515,0.0,0.25,0.9719257950782776,0.9719257950782776,0.241962160611137,both,0.6930127963423729,0.597608957439661,s2_low_viirs_high,False,False
482,10,21,37.55382708252159,47.09512731352346,0.05161705240607262,0.02790355309844017,0.0627143606543541,1.0,0.7262507677078247,0.7262507677078247,0.0,0.25,0.966514527797699,0.966514527797699,0.27535679747054204,both,0.6746337153017521,0.5847436007112264,s2_low_viirs_high,False,False
483,10,22,37.56041343250707,47.095210299831336,0.033678654581308365,0.012523874640464783,0.047085702419281006,1.0,0.7277553081512451,0.7277553081512451,0.0,0.25,0.969164252281189,0.969164252281189,0.23385247218817692,both,0.6940766535699368,0.5983536574989556,s2_low_viirs_high,False,False
484,10,23,37.566999811756126,47.095292907517596,0.03525335341691971,0.007649804465472698,0.05268797278404236,0.912,0.7053034901618958,0.7053034901618958,0.0,0.25,0.9319978356361389,0.9319978356361389,0.22823375625520512,both,0.670050136744976,0.5947350957214832,s2_low_viirs_high,False,False
485,10,24,37.57358622013511,47.095375136577964,,,,0.0,0.6945510506629944,0.6945510506629944,0.0,0.25,0.9144622087478638,0.9144622087478638,0.6945510506629944,viirs_only,,0.2625,single_source,True,False
486,10,25,37.58017265751036,47.09545698700818,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True
487,10,26,37.586759123748216,47.095538458804015,0.014854141511023045,0.0,0.0276647936552763,0.4352,,,,0.0,,,0.014854141511023045,s2_only,,0.23471999999999998,single_source,False,True
488,10,27,37.59334561871499,47.095619551961256,0.0332709364593029,0.0,0.06362376362085342,1.0,,,,0.0,,,0.0332709364593029,s2_only,,0.15,single_source,False,True
489,10,28,37.59993214227703,47.0957002664757,0.010327020660042763,0.0,0.024835554882884026,0.9968,,,,0.0,,,0.010327020660042763,s2_only,,0.15048,single_source,False,True
490,10,29,37.60651869430065,47.095780602343204,0.0086403489112854,0.0,0.025213778018951416,0.8752,,,,0.0,,,0.0086403489112854,s2_only,,0.16872,single_source,False,True
491,10,30,37.61310527465218,47.09586055955959,0.010237176902592182,0.0,0.02458018995821476,1.0,0.7145222425460815,0.7145222425460815,0.0,0.25,0.9468905925750732,0.9468905925750732,0.1385966766216648,both,0.7042850656434894,0.6054995459504425,s2_low_viirs_high,False,False
492,10,31,37.619691883197916,47.09594013812071,0.022366192191839218,0.0,0.05527102202177048,1.0,,,,0.0,,,0.022366192191839218,s2_only,,0.15,single_source,False,True
