grid_id,bayes_mean,bayes_ci_lower,bayes_ci_upper,ds_belief,ds_plausibility,ds_uncertainty_width,conflict_k,consistency_label,high_uncertainty_flag,divergence_reason,jsd_s2_viirs,fusion_suppression_ratio,p_s2_only,p_viirs_only,p_both
376,0.1548360152141456,0.1309013387882923,0.1789899520269333,0.0895444233211112,0.212036507507029,0.12249208418591778,0.1326463074406738,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1143012791239176,0.4553725729555217,0.0545941691650526,0.4487324855994384,0.1548360152141456
377,0.1554880972214625,0.1331620403697443,0.1801975178584167,0.147057677681474,0.3091796612566584,0.1621219835751844,0.1696021159352699,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.131344043579861,0.4451123304404012,0.0584632309940447,0.49374803781509,0.1554880972214625
378,0.1561489901113119,0.1344730033506084,0.183483459928412,0.391211279027805,0.5101426279466756,0.11893134891887064,0.2016904098054431,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1287807374963076,0.3735993446373044,0.0797699618450983,0.5270498125713448,0.1561489901113119
379,0.1557891405202838,0.1342178423201672,0.1809888622520155,0.1028591308762165,0.2411980287188271,0.1383388978426106,0.2330820084952673,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1673803030531988,0.4942268715501356,0.0432188019759495,0.5357623203839338,0.1557891405202838
380,0.1563116979835678,0.1351652142328706,0.1821065806851363,0.166050332409375,0.3213069272599446,0.15525659485056958,0.2371799494241963,weak_consistent,False,"Bayesian CI overlaps D-S interval but mean outside; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1621285947284129,0.4570700351590924,0.0556827070712828,0.5507825857234774,0.1563116979835678
381,0.1562535383837444,0.1332663977909121,0.1829757626187116,0.090450314143769,0.2145800109849528,0.1241296968411838,0.2761245937498299,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1882511622841251,0.5152596406519855,0.0366994593964591,0.5607494835191236,0.1562535383837444
382,0.1561072079896589,0.1346391285460104,0.1823256386936506,0.0948891407796489,0.2210593076584004,0.1261701668787515,0.2811615751397956,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1909195785969705,0.5146343848844367,0.0367550768789513,0.5657158488153752,0.1561072079896589
383,0.1561731376447863,0.1338173831696275,0.1817398507367914,0.0951796001289093,0.2230367581804968,0.1278571580515875,0.2752094441263833,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.188325875487431,0.5126585656564444,0.0374922354814265,0.5626225867233692,0.1561731376447863
384,0.1563506904472755,0.1344728232109505,0.1824077343236926,0.1038962686813001,0.2324738843173728,0.12857761563607267,0.2748286482847344,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); S2 low structural damage, VIIRS high functional loss",0.1850609109756835,0.5022169326956302,0.0411805349783392,0.5645913544516454,0.1563506904472755
385,0.1561807191603737,0.1332846275288439,0.1828839921556538,0.0939830946724823,0.2185128706910681,0.1245297760185858,0.281556615994473,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1901052575946645,0.5087617379644366,0.0388110248728541,0.5687087229585518,0.1561807191603737
386,0.1562011806791953,0.1343435278472314,0.1819231838437645,0.0931842516497188,0.2167443107804663,0.1235600591307475,0.2824164154394835,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1899085890944977,0.5132399589718041,0.037326043017039,0.5651344874201141,0.1562011806791953
387,0.1562650971350308,0.1334797871618786,0.1844225319363938,0.0989839933679765,0.2273368098828806,0.1283528165149041,0.2764275919749343,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1881852859414697,0.5092740576592376,0.0387293336858452,0.5650513909528495,0.1562650971350308
388,0.1564131896030265,0.1345173599824434,0.1843422550841848,0.1283132454543936,0.266722047312541,0.1384088018581474,0.2687273566110921,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); S2 low structural damage, VIIRS high functional loss",0.1819479573627244,0.4920731308469075,0.0446007710710279,0.566025697441814,0.1564131896030265
389,0.1561891467630326,0.1337436291173166,0.1835828705346046,0.1055553913959225,0.2343529869827873,0.12879759558686482,0.2776290421108944,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); S2 low structural damage, VIIRS high functional loss",0.1859317982210365,0.5008920137697501,0.0414472020969097,0.5667456000352997,0.1561891467630326
390,0.156042764272099,0.1338664377890055,0.1822219703827425,0.0932817651963757,0.2165060596715913,0.12322429447521561,0.2785437623968695,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1868525888894215,0.5079105115056703,0.0389488240343946,0.5630974770923717,0.156042764272099
391,0.1555054880079717,0.1316407314522223,0.1811151077242705,0.0170565934247688,0.2388567476704632,0.22180015424569438,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1526152813251496,0.5008781798822076,0.0407172080419404,0.5013726737329101,0.1555054880079717
392,0.1561317948406751,0.1341822608131144,0.1840226617827627,0.1375646922723535,0.3219499308511059,0.18438523857875241,0.2320563786585087,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1759004479561305,0.4879314466252327,0.0456509115222186,0.5569760437341519,0.1561317948406751
393,0.1559724410431721,0.1337074189900343,0.1825296669414507,0.2210124154402243,0.5431539001616302,0.3221414847214059,0.1348561264693704,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1578963531488734,0.4632189698357428,0.0533887015565552,0.53807845935943,0.1559724410431721
394,0.1560975494501479,0.13330739733746,0.1816650928868343,0.3171629890799522,0.8421629890799522,0.525,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1677240971710797,0.4714929707251209,0.0509096416291144,0.5521702915548281,0.1560975494501479
395,0.1554644534809619,0.130453299461295,0.1815161762111779,,,,,no_ds_data,False,"Insufficient evidence for D-S fusion; S2 low structural damage, VIIRS high functional loss",0.142915459012941,0.4719472114868838,0.0500748699456837,0.5013436244658014,0.1554644534809619
396,0.1554906151714153,0.1319979007514878,0.1814781233856961,0.0273804232505457,0.6112109656687078,0.5838305424181621,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss",0.1418392179245208,0.4695982018428432,0.0508494092253258,0.5006967104827056,0.1554906151714153
397,0.1552944990709393,0.134263181644531,0.1782463947933356,0.0277687504414636,0.531287941627097,0.5035191911856334,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss",0.1426048002830345,0.4701808617060969,0.050450934056589,0.5014681766147008,0.1552944990709393
398,0.1538618068072474,0.129186699801101,0.1764635976679681,0.1680211776840709,0.4876824388668206,0.31966126118274973,0.1292845464909896,weak_consistent,True,"Bayesian CI overlaps D-S interval but mean outside; Wide D-S interval (top quartile); High S2-VIIRS JSD (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1882260737739122,0.5527737403929585,0.0213623475404196,0.5239321194351187,0.1538618068072474
399,0.1551054533270426,0.1319106294340515,0.1799425325754088,0.1005766270372164,0.3136209130906874,0.213044286053471,0.1590390742138415,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1639332442606236,0.5262132490210514,0.0317646973281109,0.5035330478518923,0.1551054533270426
400,0.1550419453618086,0.1325489174379074,0.1795324386361435,0.0027796901553938,0.5175046103249062,0.5147249201695124,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1633693005358191,0.5237944550634512,0.0325222305484366,0.5042096519167792,0.1550419453618086
401,0.155447825494103,0.1312598282929893,0.1811794648041055,,,,,no_ds_data,False,"Insufficient evidence for D-S fusion; S2 low structural damage, VIIRS high functional loss",0.143443203886244,0.4701197944204103,0.0506373489873207,0.5035717659063508,0.155447825494103
