grid_id,p_s2_only,p_viirs_only,p_both,kl_s2_vs_neutral_prior,kl_viirs_vs_neutral_prior,kl_both_vs_neutral_prior,kl_s2_vs_s2_global,kl_viirs_vs_viirs_global,kl_both_vs_both_global,kl_s2_vs_viirs,kl_viirs_vs_s2,jsd_s2_viirs,abs_diff_s2_viirs,best_single_sensor_kl,fusion_kl_loss,fusion_suppression_ratio,conflict_rank
50,0.10677459011177247,0.44001300144343997,0.1551809732278211,0.35342893480587256,0.00721424519574454,0.2615554552261078,0.025465152184402887,0.007991337218438643,1.9694549092575558e-07,0.2658678123915029,0.36162334802867535,0.07377965373161392,0.3332384113316675,0.35342893480587256,0.09187347957976477,0.25994894738946034,2
51,0.06589247667715871,0.4723915168411285,0.1550123791903561,0.45026511931282276,0.001525232287018178,0.2618412513906895,0.0022886696871415348,0.0018936314590900921,5.975580225195984e-07,0.40380289254935375,0.6291196674910393,0.11515157722403997,0.4064990401639698,0.45026511931282276,0.18842386792213328,0.41847316134480617,2
52,0.059123092189369696,0.48451880953247617,0.155381679759568,0.46859934927387215,0.00047941113316023014,0.2612155054818026,0.0007508378073601916,0.0006947354109857716,2.700782445552534e-09,0.4417689868762543,0.7090311526497608,0.12645379885024288,0.4253957173431065,0.46859934927387215,0.20738384379206953,0.44256110067891785,2
53,0.03178775934790929,0.47677458741772943,0.1550544768846744,0.5522444733170259,0.0010792278794084682,0.2617698681696271,0.004150937262966548,0.0013923024145589963,4.772053903572037e-07,0.5097954633569621,0.9690744179912628,0.1505044726470388,0.44498682806982015,0.5522444733170259,0.29047460514739876,0.5259891573068701,3
54,0.04307258576837872,0.4992835496730028,0.1552441324829935,0.5155582113125847,1.0266024934131243e-06,0.26144844515855103,0.0005921728759420942,2.998520966935236e-05,1.027022896034856e-07,0.5142497738382203,0.8990803890855064,0.14905949383585054,0.4562109639046241,0.5155582113125847,0.2541097661540337,0.4928827833176845,2
55,0.04938687927261849,0.5220946691304257,0.1557899310266824,0.49644120622189897,0.0009766668087472091,0.26052497050061224,1.1274165940291592e-05,0.000717695554951072,5.544122485600994e-07,0.5372690529704949,0.9025320572822643,0.153855613977005,0.4727077898578072,0.49644120622189897,0.23591623572128673,0.4752148547794742,3
56,0.04310969106219035,0.5504138413347447,0.1559779770126697,0.5154431704005173,0.005091758683329298,0.2602073273218001,0.0005860574791232351,0.00447533301652854,1.2349938053489093e-06,0.6130008157540863,1.0622614941186241,0.17521581872116418,0.5073041502725544,0.5154431704005173,0.2552358430787173,0.495177466180006,3
57,0.03539290716040726,0.5495104123694953,0.1559880120682989,0.54013179205887,0.00491060515864606,0.2601903838764638,0.002621451626883207,0.004305582885565103,1.2788647717777973e-06,0.6373726122587835,1.1640448360438003,0.18370630587711545,0.514117505209088,0.54013179205887,0.27994140818240615,0.5182835232033423,3
58,0.03933701133467261,0.5619626083686725,0.1562392449655113,0.5273158004096782,0.007698505707092587,0.2597664449868071,0.0013836887219831149,0.006936307497533371,2.6263759344595993e-06,0.6498195525817676,1.150410755935749,0.18577385210059938,0.5226255970339999,0.5273158004096782,0.26754935542287106,0.5073797432487489,3
59,0.03820753869204026,0.5013121838780615,0.1550049761982264,0.5309420188873138,3.443657012615429e-06,0.2618538057197838,0.0016942512131100478,6.796139696657556e-06,6.201211215592925e-07,0.5333692946077552,0.9629285726143999,0.15534539713873954,0.4631046451860213,0.5309420188873138,0.26908821316753007,0.5068128036493583,3
60,0.037733599261967204,0.5705022395723712,0.1562092211577256,0.5324739049495075,0.009974338412047937,0.25981708297334133,0.0018348507144341098,0.009104350015785093,2.4401380387459445e-06,0.6737528860732074,1.2029997588257217,0.19239007766847588,0.532768640310404,0.5324739049495075,0.2726568219761662,0.5120566837956523,3
61,0.03612218238375587,0.5731515616452935,0.156050502796382,0.5377291227894838,0.010740812385947401,0.26008489013890146,0.0023596272693960623,0.00983738332766225,1.5692706313879439e-06,0.6852622439963162,1.2366469935021638,0.19582985814211135,0.5370293792615376,0.5377291227894838,0.27764423265058236,0.516327312179589,3
62,0.050788479400123744,0.5592731807452352,0.1559950762374814,0.4923168196081191,0.007043170923891791,0.2601784570107548,1.3952241862720408e-06,0.006314919602522617,1.3102064461633593e-06,0.6064012249357549,1.0035502935484382,0.17159965856343928,0.5084847013451115,0.4923168196081191,0.2321383625973643,0.47152230708295706,3
63,0.05067303523167016,0.5382491709196621,0.1559547895245557,0.49265497408387665,0.002928858675052437,0.26024648059735267,6.542421940914397e-07,0.0024659796970901426,1.136549246943605e-06,0.5644696751135339,0.9390471754399659,0.16074263616978055,0.4875761356879919,0.49265497408387665,0.23240849348652398,0.4717469744798627,3
64,0.05085756544574882,0.5379275010437349,0.1557809427727011,0.49211458776450506,0.0028797560657479668,0.2605401599939505,1.9709140306436632e-06,0.0024209373165187884,5.286124155079734e-07,0.5632704320257618,0.9361899397947648,0.16038796304315506,0.48706993559798606,0.49211458776450506,0.23157442777055454,0.47057013453413704,3
65,0.0503604305558771,0.5446615360299562,0.1559542304324612,0.4935720358099815,0.003994627457038824,0.26024742470376144,4.029774168722792e-08,0.003450809382766276,1.134225999401559e-06,0.5781183759801404,0.9621240174535346,0.16437674067300032,0.49430110547407907,0.4935720358099815,0.23332461110622005,0.4727265610243098,3
66,0.0506377480850101,0.5370648495741297,0.1557099008368986,0.4927583910493411,0.0027501281421229914,0.2606602372994241,4.830067106465939e-07,0.002302198078921437,3.463120814356448e-07,0.5622581896786101,0.9357548762282653,0.16017122797953923,0.4864271014891196,0.4927583910493411,0.232098153749917,0.47101816623692244,3
67,0.0494760480219978,0.5095699894181546,0.1554782555570807,0.49617758119848737,0.00018318058024205386,0.2610520381564747,9.411036114493091e-06,8.230017748917656e-05,1.863654888113633e-08,0.5136089283920829,0.8638246014400854,0.14753546281011287,0.4600939413961568,0.49617758119848737,0.23512554304201266,0.47387377413159404,2
68,0.05069032720849957,0.4637923085963166,0.154708104405548,0.4926043054853575,0.0026242902712229066,0.2623575993469791,7.476049024997787e-07,0.003101231632073362,1.8699428922953204e-06,0.43004522630024206,0.7204087707027085,0.12461871670516593,0.413101981387817,0.4926043054853575,0.2302467061383784,0.467407011214648,2
69,0.05010739048401025,0.4416705110879983,0.1544005819514339,0.4943158538017229,0.006820177651602449,0.26288017787538753,1.0392096364629077e-06,0.007576348012717948,3.875253650995145e-06,0.3957191087169599,0.664553671944597,0.11519429571052871,0.39156312060398807,0.4943158538017229,0.23143567592633535,0.46819391720170783,2
70,0.05123373343105537,0.4568698060323183,0.1548507241002941,0.49101518317401205,0.0037250549104717173,0.26211548862293155,6.837100302757842e-06,0.004289374499495138,1.1854704922170277e-06,0.4171351272951265,0.6966659603146783,0.12096578507816279,0.40563607260126294,0.49101518317401205,0.2288996945510805,0.46617640837790586,2
71,0.05195781426856621,0.466832974058894,0.1548083163722797,0.48890713098877175,0.002201719550860584,0.26218746360071143,2.438129782533771e-05,0.0026402805777018187,1.3727556000019733e-06,0.4315837667311655,0.7180783101518391,0.1248308127005958,0.4148751597903278,0.48890713098877175,0.22671966738806032,0.46372747096067035,2
72,0.05109804457993869,0.44828072282869386,0.1548339649741739,0.49141141649120934,0.0053593483305354045,0.2621439307992845,4.745097765808913e-06,0.006032082306555976,1.257841347453029e-06,0.4035891151145054,0.6743406593216346,0.11723184223252575,0.3971826782487552,0.49141141649120934,0.22926748569192484,0.46654896080548447,2
