grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality,p_s2_clipped,u_s2,m_s2_D,m_s2_N,m_s2_U,p_viirs_clipped,u_viirs,m_viirs_D,m_viirs_N,m_viirs_U,conflict_k,belief_damage,belief_no_damage,uncertainty_ds,plausibility_damage,plausibility_no_damage,ds_damage_mid,ds_interval_width,conflict_class,ds_decision_class,ds_source
1087,23,28,37.59839682431944,47.15417344394003,0.007720306981354952,0.0,0.021350925788283348,1.0,0.7066242098808289,0.7066242098808289,0.0,0.25,0.9339487552642822,0.9339487552642822,0.12041001952987501,both,0.6989039028994739,0.6017327320296317,s2_low_viirs_high,False,False,0.0077203069813549,0.1642339505255222,0.006452370466537216,0.8293136790079406,0.1642339505255222,0.7066242098808289,0.525,0.3356464996933937,0.1393535003066063,0.525,0.2792553939166529,0.08418760288917518,0.7961821934323692,0.11963020367845574,0.20381780656763093,0.915812397110825,0.14400270472840304,0.11963020367845574,medium_conflict,likely_no_damage,both
1088,23,29,37.6049905934525,47.15425394330088,0.01152714341878891,0.0,0.032663751393556595,0.984,0.7089349627494812,0.7089349627494812,0.0,0.25,0.9377039670944214,0.9377039670944214,0.14422661957392885,both,0.6974078193306923,0.6030854735314846,s2_low_viirs_high,False,False,0.0115271434187889,0.17817583426237102,0.009473285023484188,0.8123508807141447,0.17817583426237102,0.7089349627494812,0.525,0.33674410730600357,0.13825589269399643,0.525,0.27486410962299695,0.09400060140805301,0.7769996976681497,0.1289997009237972,0.2230003023318502,0.9059993985919469,0.1585004518699516,0.1289997009237972,medium_conflict,likely_no_damage,both
1089,23,30,37.61158439102541,47.1543340632405,0.006543981842696667,0.0,0.016526706516742706,0.0976,0.7076966762542725,0.7076966762542725,0.0,0.25,0.9356430768966675,0.9356430768966675,0.11212564025533084,both,0.7011526944115758,0.738666886088103,s2_low_viirs_high,True,False,0.0065439818426966,0.5219778043444951,0.0031281685687755854,0.4748940270867293,0.5219778043444951,0.7076966762542725,0.525,0.3361559212207794,0.1388440787792206,0.525,0.16007276684078303,0.21211333973740712,0.46162226917942745,0.3262643910831656,0.5383777308205727,0.787886660262593,0.3752455352789899,0.3262643910831656,low_conflict,insufficient_evidence,both
1090,23,31,37.61817821690397,47.154413803754736,0.0,0.0,0.0,0.0144,0.7064241170883179,0.7064241170883179,0.0,0.25,0.9335736632347107,0.9335736632347107,0.046782336474370675,both,0.7064241170883179,0.7548368819618225,s2_low_viirs_high,True,False,0.001,0.5442400000000001,0.00045575999999999993,0.4553042399999999,0.5442400000000001,0.7064241170883179,0.525,0.335551455616951,0.13944854438304902,0.525,0.1528415555491576,0.21603128710475952,0.44669296256589375,0.3372757503293467,0.5533070374341063,0.7839687128952404,0.3846691622694329,0.3372757503293467,low_conflict,insufficient_evidence,both
1091,23,32,37.62477207095395,47.15449316483946,0.007691424340009689,0.0,0.019015753641724586,0.376,0.7130143046379089,0.7130143046379089,0.0,0.25,0.9447044134140015,0.9447044134140015,0.121860393375384,both,0.7053228802978992,0.6998260162085295,s2_low_viirs_high,False,False,0.0076914243400096,0.41227716909448303,0.004520425686806039,0.5832024052187109,0.41227716909448303,0.7130143046379089,0.525,0.33868179470300674,0.13631820529699326,0.525,0.19813625359138703,0.17900170890236794,0.5510702456609609,0.26992804543667137,0.4489297543390393,0.8209982910976322,0.3139657316207036,0.26992804543667137,low_conflict,insufficient_evidence,both
1092,23,33,37.631365953041154,47.154572146490565,0.00494768563657999,0.0,0.015876101329922676,1.0,0.7076089382171631,0.7076089382171631,0.0,0.25,0.9378097653388977,0.9378097653388977,0.09885268988311247,both,0.7026612525805831,0.6043628768064081,s2_low_viirs_high,False,False,0.0049476856365799,0.16058406755328172,0.004153166152082952,0.8352627662946354,0.16058406755328172,0.7076089382171631,0.525,0.33611424565315245,0.13888575434684752,0.525,0.2813205302292466,0.0800787356372752,0.8026135646000401,0.11730769976268461,0.19738643539995981,0.9199212643627247,0.1387325855186175,0.11730769976268461,medium_conflict,likely_no_damage,both
1093,23,34,37.637959863031334,47.15465074870396,0.023811468854546547,0.0,0.048829201608896255,1.0,0.668854832649231,0.668854832649231,0.0,0.25,0.8785098195075989,0.8785098195075989,0.18164543093677227,both,0.6450433637946844,0.564030354656279,s2_low_viirs_high,False,False,0.0238114688545465,0.18255280107259747,0.019464618517496122,0.7979825804099064,0.18255280107259747,0.668854832649231,0.525,0.3177060455083847,0.1572939544916153,0.525,0.25658555682589573,0.1000802189231045,0.7710008160996865,0.12891896497720898,0.22899918390031349,0.8999197810768955,0.16453970141170898,0.12891896497720898,medium_conflict,likely_no_damage,both
1094,23,35,37.644553800790284,47.15472897147557,0.04454720392823219,0.021759754046797752,0.053959060460329056,1.0,0.5894936323165894,0.5894936323165894,0.0,0.25,0.7649489045143127,0.7649489045143127,0.20556289951081594,both,0.5449464283883572,0.49396249987185,s2_low_viirs_high,False,False,0.0445472039282321,0.18597270697355267,0.0362626398255959,0.7777646532008515,0.18597270697355267,0.5894936323165894,0.525,0.28000947535037995,0.19499052464962005,0.525,0.22485234365361378,0.10483923689199973,0.7692032499016583,0.12595751320634221,0.23079675009834194,0.8951607631080005,0.16781799349517085,0.12595751320634221,medium_conflict,likely_no_damage,both
1095,23,36,37.651147766183755,47.154806814801354,0.04077159985899925,9.508022776572034e-05,0.08074700087308884,1.0,0.48892122507095337,0.48892122507095337,0.0,0.25,0.622020423412323,0.622020423412323,0.16780937002925717,both,0.4481496252119541,0.42620473764836786,both_low,False,False,0.0407715998589992,0.20383133391539254,0.03246107027387476,0.7637075958107327,0.20383133391539254,0.4889212250709533,0.525,0.2322375819087028,0.24276241809129714,0.525,0.1852419332499109,0.08826919474754089,0.7803894234697307,0.1313413817827283,0.2196105765302692,0.9117308052524591,0.15393988563890504,0.1313413817827283,low_conflict,likely_no_damage,both
1096,23,37,37.657741759077545,47.15488427867726,0.5017210245132446,0.6729652285575867,0.3023832440376282,1.0,0.47157037258148193,0.47157037258148193,0.0,0.25,0.5971859097480774,0.5971859097480774,0.4866335389260832,both,0.030150651931762695,0.13360545635223386,s2_high_viirs_low,False,False,0.5017210245132446,0.35,0.326118665933609,0.323881334066391,0.35,0.4715703725814819,0.525,0.22399592697620388,0.25100407302379607,0.525,0.15440521309291336,0.3815777153937344,0.4011196204400184,0.21730266416624716,0.5988803795599815,0.6184222846062656,0.490229047476858,0.21730266416624716,low_conflict,insufficient_evidence,both
