grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality,p_weighted_best,weighted_best_s2_version,weighted_best_w_viirs
212,4,27,37.59405592683986,47.06863179211079,,,,0.0,0.2721179723739624,0.2721179723739624,0.0,0.25,0.302373319864273,0.302373319864273,0.2721179723739624,viirs_only,,0.2625,single_source,True,False,0.21754241639591715,s2_original,0.9500000000000001
213,4,28,37.60063912710513,47.068712430931726,,,,0.0,0.2507186532020569,0.2507186532020569,0.0,0.25,0.2628351151943207,0.2628351151943207,0.2507186532020569,viirs_only,,0.2625,single_source,True,False,0.2001460628561376,s2_original,0.9500000000000001
214,4,29,37.60722235578029,47.06879269146057,,,,0.0,0.3566456735134125,0.3566456735134125,0.0,0.25,0.4364317059516907,0.4364317059516907,0.3566456735134125,viirs_only,,0.2625,single_source,True,False,0.2878615020277043,s2_original,0.9500000000000001
215,4,30,37.61380561273188,47.06887257369316,,,,0.0,0.3163876831531524,0.3163876831531524,0.0,0.25,0.3752243220806122,0.3752243220806122,0.3163876831531524,viirs_only,,0.2625,single_source,True,False,0.25402881509156894,s2_original,0.9500000000000001
216,4,31,37.62038889782649,47.06895207762541,,,,0.0,0.3029895424842834,0.3029895424842834,0.0,0.25,0.355390727519989,0.355390727519989,0.3029895424842834,viirs_only,,0.2625,single_source,True,False,0.24291117275536567,s2_original,0.9500000000000001
217,4,32,37.626972210930646,47.06903120325316,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
218,4,33,37.63355555191092,47.06910995057234,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
219,4,34,37.64013892063384,47.06918831957889,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
220,4,35,37.64672231696597,47.06926631026875,,,,0.0,0.3189999759197235,0.3189999759197235,0.0,0.25,0.3808479607105255,0.3808479607105255,0.3189999759197235,viirs_only,,0.2625,single_source,True,False,0.25620444098518885,s2_original,0.9500000000000001
221,4,36,37.653305740773845,47.06934392263791,,,,0.0,0.2194857150316238,0.2194857150316238,0.0,0.25,0.1596869826316833,0.1596869826316833,0.2194857150316238,viirs_only,,0.2625,single_source,True,False,0.17500390923888315,s2_original,0.9500000000000001
222,4,37,37.659889191924,47.06942115668232,,,,0.0,0.119888499379158,0.119888499379158,0.0,0.25,-0.0436205677688121,-0.0436205677688121,0.119888499379158,viirs_only,,0.2625,single_source,True,False,0.09628949180282294,s2_original,0.9500000000000001
223,4,38,37.66647267028298,47.06949801239801,,,,0.0,0.2112285047769546,0.2112285047769546,0.0,0.25,0.1622079163789749,0.1622079163789749,0.2112285047769546,viirs_only,,0.2625,single_source,True,False,0.16840173174295459,s2_original,0.9500000000000001
224,4,39,37.6730561757173,47.06957448978103,,,,0.0,0.1737575083971023,0.1737575083971023,0.0,0.25,0.0982558578252792,0.0982558578252792,0.1737575083971023,viirs_only,,0.2625,single_source,True,False,0.1386433348071501,s2_original,0.9500000000000001
225,4,40,37.679639708093504,47.069650588827386,,,,0.0,0.1823353618383407,0.1823353618383407,0.0,0.25,0.1240991353988647,0.1240991353988647,0.1823353618383407,viirs_only,,0.2625,single_source,True,False,0.14542893173186125,s2_original,0.9500000000000001
226,4,41,37.68622326727811,47.06972630953317,,,,0.0,0.2244780510663986,0.2244780510663986,0.0,0.25,0.2158550024032592,0.2158550024032592,0.2244780510663986,viirs_only,,0.2625,single_source,True,False,0.17900428115918443,s2_original,0.9500000000000001
227,4,42,37.692806853137625,47.06980165189448,,,,0.0,0.2764247953891754,0.2764247953891754,0.0,0.25,0.3072672188282013,0.3072672188282013,0.2764247953891754,viirs_only,,0.2625,single_source,True,False,0.22106167350255224,s2_original,0.9500000000000001
228,4,43,37.699390465538585,47.06987661590741,,,,0.0,0.2809629738330841,0.2809629738330841,0.0,0.25,0.3089227378368377,0.3089227378368377,0.2809629738330841,viirs_only,,0.2625,single_source,True,False,0.22477677888133774,s2_original,0.9500000000000001
229,4,44,37.7059741043475,47.06995120156805,,,,0.0,0.1801318824291229,0.1801318824291229,0.0,0.25,0.1146815419197082,0.1146815419197082,0.1801318824291229,viirs_only,,0.2625,single_source,True,False,0.1436844630515928,s2_original,0.9500000000000001
230,4,45,37.71255776943087,47.0700254088726,,,,0.0,0.2297246158123016,0.2297246158123016,0.0,0.25,0.2019673734903335,0.2019673734903335,0.2297246158123016,viirs_only,,0.2625,single_source,True,False,0.18321565160427575,s2_original,0.9500000000000001
231,4,46,37.719141460655216,47.0700992378172,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
232,5,1,37.42277042646295,47.07090003709376,0.3095075190067291,0.3283606767654419,0.1011019647121429,0.92,0.215777114033699,0.215777114033699,0.0,0.25,0.2002501785755157,0.2002501785755157,0.2599102684195747,both,0.09373040497303,0.190111283481121,both_low,False,False,0.21993485461440093,s2_original,0.9500000000000001
233,5,2,37.429353394558255,47.0709905241365,0.259448766708374,0.2572518289089203,0.1317642033100128,1.0,0.2283362001180648,0.2283362001180648,0.0,0.25,0.224332571029663,0.224332571029663,0.2435557968988134,both,0.0311125665903091,0.1342787966132164,both_low,False,False,0.2298275610259181,s2_original,0.9500000000000001
234,5,3,37.435936394541145,47.07108063294272,0.128761425614357,0.0382655933499336,0.1559193432331085,1.0,0.1803700774908065,0.1803700774908065,0.0,0.25,0.1250071823596954,0.1250071823596954,0.1527881598621716,both,0.0516086518764495,0.1486260563135147,both_low,False,False,0.1774459970884178,s2_original,0.9500000000000001
235,5,4,37.442519426278224,47.0711703635078,0.0240488518029451,0.0,0.0471588596701622,1.0,0.2195967137813568,0.2195967137813568,0.0,0.25,0.1626605838537216,0.1626605838537216,0.076868773061739,both,0.1955478619784116,0.2493835033848881,both_low,False,False,0.1994423324798167,s2_original,0.9500000000000001
236,5,5,37.44910248963611,47.07125971582708,0.0698960423469543,0.0158520173281431,0.0890564545989036,1.0,0.1405877918004989,0.1405877918004989,0.0,0.25,-0.0517390817403793,-0.0517390817403793,0.0998087009415092,both,0.0706917494535446,0.1619842246174812,both_low,False,False,0.13595392297735376,s2_original,0.9500000000000001
237,5,6,37.45568558448143,47.07134868989595,0.0460347719490528,0.0,0.10031109303236,1.0,0.2181025296449661,0.2181025296449661,0.0,0.25,0.1656255275011062,0.1656255275011062,0.1039585627903751,both,0.1720677576959133,0.2329474303871393,both_low,False,False,0.20351283501462447,s2_original,0.9500000000000001
238,5,7,37.462268710680775,47.07143728570981,0.033796239644289,0.0,0.0794536992907524,1.0,0.4869051575660705,0.4869051575660705,0.0,0.25,0.6103951334953308,0.6103951334953308,0.1541118796429051,both,0.4531089179217815,0.429676242545247,both_low,False,False,0.4458573608492295,s2_original,0.9500000000000001
239,5,8,37.46885186810077,47.07152550326409,0.1374358236789703,0.0004923783126287,0.1967862248420715,1.0,0.5531819462776184,0.5531819462776184,0.0,0.25,0.7123918533325195,0.7123918533325195,0.3075478410023809,both,0.415746122598648,0.4035222858190536,s2_low_viirs_high,False,False,0.5277267996425317,s2_original,0.9500000000000001
240,5,9,37.47543505660801,47.071613342554215,0.1735220998525619,0.0375873856246471,0.2031669318675995,1.0,0.6066571474075317,0.6066571474075317,0.0,0.25,0.7856531143188477,0.7856531143188477,0.3626702831655194,both,0.4331350475549698,0.4156945332884788,s2_low_viirs_high,False,False,0.5826288894894032,s2_original,0.9500000000000001
241,5,10,37.4820182760691,47.07170080357568,0.0289024971425533,0.0,0.08109712600708,1.0,0.6439183950424194,0.6439183950424194,0.0,0.25,0.8404725193977356,0.8404725193977356,0.1883077910018385,both,0.6150158978998661,0.5430111285299062,s2_low_viirs_high,False,False,0.5955763253707215,s2_original,0.9500000000000001
242,5,11,37.48860152635062,47.07178788632392,0.0301117058843374,0.0128809111192822,0.0437338501214981,1.0,0.7012609839439392,0.7012609839439392,0.0,0.25,0.9255695343017578,0.9255695343017578,0.2125741126217076,both,0.6711492780596018,0.5823044946417212,s2_low_viirs_high,False,False,0.6540819946035582,s2_original,0.9500000000000001
243,5,12,37.495184807319184,47.07187459079447,0.0181605797260999,0.0,0.0325475260615348,1.0,0.7042376399040222,0.7042376399040222,0.0,0.25,0.9304606914520264,0.9304606914520264,0.1734591154675777,both,0.6860770601779222,0.5927539421245456,s2_low_viirs_high,False,False,0.6512805701269013,s2_original,0.9500000000000001
244,5,13,37.50176811884136,47.07196091698283,0.0139919919893145,0.0,0.02845392934978,1.0,0.7036744952201843,0.7036744952201843,0.0,0.25,0.929241418838501,0.929241418838501,0.1550983265051768,both,0.6896825032308698,0.5952777522616088,s2_low_viirs_high,False,False,0.6476796871545867,s2_original,0.9500000000000001
245,5,14,37.50835146078373,47.07204686488456,0.0273379534482955,0.0053182542324066,0.0428851954638958,0.9536,0.6992179155349731,0.6992179155349731,0.0,0.25,0.92206209897995,0.92206209897995,0.2035760254802519,both,0.6718799620866776,0.5897759734606742,s2_low_viirs_high,False,False,0.6508572690390233,s2_original,0.9500000000000001
246,5,15,37.51493483301289,47.07213243449519,0.0130514316260814,0.0,0.0314302705228328,1.0,0.7209842801094055,0.7209842801094055,0.0,0.25,0.957824170589447,0.957824170589447,0.1560146209754025,both,0.707932848483324,0.6080529939383268,s2_low_viirs_high,False,False,0.6649864631577872,s2_original,0.9500000000000001
247,5,16,37.5215182353954,47.07221762581032,0.0083740130066871,0.0,0.0196518972516059,0.456,0.6866301894187927,0.6866301894187927,0.0,0.25,0.9032087326049804,0.9032087326049804,0.1197393808977364,both,0.6782561764121056,0.6688793234884738,s2_low_viirs_high,False,False,0.6239810881775306,s2_original,0.9500000000000001
