grid_id,p_viirs_only_mean,p_viirs_only_sd,p_viirs_only_ci_2_5,p_viirs_only_ci_97_5
502,0.5184982366781373,0.08484372791918911,0.35136859428495093,0.6974807574723605
503,0.5157795421025657,0.086151955201309,0.3462578527497228,0.7004877900477481
504,0.5251531932002103,0.0860942787659205,0.35006819500238506,0.7126180719852199
505,0.4978425243740398,0.08442570472890795,0.31872160748446604,0.6687282764956607
506,0.496538280685348,0.08555402372105352,0.31731596795313505,0.6747064551410197
507,0.4793357705775639,0.085584652197074,0.29050718955561833,0.648141669751345
508,0.4515716571429525,0.09232959058934925,0.2513097454504287,0.6121988210329378
509,0.4225532168320731,0.10131371096081354,0.20782365633536296,0.5837863292164587
510,0.3869795289604619,0.11833376161563662,0.15469257880723125,0.5603048375244688
511,0.46563419495372926,0.08610295562990651,0.2839523283534927,0.6249315427518897
512,0.46968704470952644,0.08869510251284511,0.2781326667966875,0.6425832660657481
513,0.4506847738744655,0.09282317357694796,0.2501040218472105,0.6128223103207133
514,0.45691798429411473,0.09241713329858013,0.25917962117617344,0.6227947259251524
515,0.4756574083947329,0.08812562122503698,0.286282810229737,0.6434588837079922
516,0.48865902740000555,0.08390373310183258,0.3069965948581387,0.6508759114274121
517,0.502679275878771,0.08522819225091861,0.3161885644917809,0.6760275401232667
518,0.5153099510128747,0.08489874672712318,0.342954382218506,0.6916322003651286
519,0.5588925065284569,0.0950464670993465,0.3888548965163984,0.7646783186699305
520,0.5649645046205483,0.09440362321365331,0.4061267834876662,0.7637782253939186
521,0.5657709457627994,0.0949185190650224,0.39980686825520834,0.7661502330013273
522,0.5646393157216426,0.09609319707487586,0.3990109415834796,0.7768219059350295
523,0.5653994169623839,0.09469246285842961,0.4017673814596931,0.7638925644295496
524,0.5671884762515406,0.09605610336730144,0.4065011225250271,0.7727098686766005
525,0.5672908058996643,0.09942217463580177,0.4015040135360058,0.7793336957895857
526,0.5704385121204951,0.09722335619650473,0.4075933426094021,0.7796866298892241
527,0.570941893343327,0.09674404418065759,0.4096885133668345,0.7757803196266512
528,0.5686494351229169,0.09935785644856515,0.3998880279231694,0.7852538042905254
529,0.5653687471846082,0.09681500598278622,0.399371157863409,0.774109806754348
530,0.5616750004749845,0.09565325398331906,0.39615302505246863,0.7659293527818849
531,0.5603624496291235,0.09495486443402149,0.39319294795253756,0.7683756145893099
532,0.5017095539971048,0.11419605085395904,0.2545323991083086,0.7479763801826443
533,0.5073863536608529,0.11235011523555677,0.27812522816819923,0.7518650200321791
534,0.503473545565559,0.1132546725348865,0.26393569895901703,0.7461975312747757
535,0.5015132250204064,0.11646988881908182,0.24203500308713513,0.7504327435864739
536,0.5035598073220385,0.11340247836728985,0.25925416214198116,0.7468537744760945
537,0.5656784984643262,0.09374202901595358,0.4032992722074526,0.7602018745288777
