grid_id,p_s2_only_mean,p_s2_only_sd,p_s2_only_ci_2_5,p_s2_only_ci_97_5
889,0.04076311982951267,0.028783913510794994,0.006499602055074506,0.11225178069876202
890,0.04445206436495574,0.03213790344173876,0.009530315802022881,0.13451018422942526
891,0.042050991256693274,0.02963689635523461,0.008348725902972582,0.124059309550923
892,0.04744564877012104,0.03564413065249933,0.01093782229661534,0.1458254788335173
893,0.04038011193367211,0.027997555178719456,0.007589599793127726,0.11241425520050291
894,0.04950770457369496,0.041545479110624554,0.010814110925408061,0.16130839375383513
895,0.051725677346228405,0.04138717540661022,0.012083148611349445,0.16479643432677285
896,0.04680399761898041,0.03415494633921683,0.010445549946616721,0.13596578366422649
897,0.0381749831479641,0.023922928734222377,0.006039103971420714,0.09858548926522978
898,0.03919132447493503,0.025416061305274473,0.006993975109219546,0.10068220745102537
899,0.03375547569281868,0.02286649789159274,0.005138818197523031,0.0886803557287881
900,0.024730749542486708,0.017043243374328863,0.0016685582401594883,0.0607867652369047
901,0.03557169949595658,0.023740634903331125,0.00600709131967493,0.0953305808122817
902,0.041049471617843156,0.028789612123220294,0.00822109626274674,0.11475477337671221
903,0.03906887155880344,0.026693505477647102,0.006751559640163328,0.10555228029716512
904,0.038478282936119684,0.026996939310927812,0.0063486123437025655,0.11436868417134183
905,0.04517363972808096,0.03412441822675138,0.009549727196051811,0.13145302721145746
906,0.04400242149186037,0.03168553715983963,0.008891045224623318,0.13019287397481796
907,0.04490853799102982,0.03250698817133799,0.009891533419479966,0.1305488749168438
908,0.049219960999003956,0.038922559530535354,0.011135836280022678,0.15956140072237693
909,0.03543913915282172,0.022539870035927785,0.006412352947479447,0.09215865757079958
910,0.04667330939047696,0.034629167707897965,0.01045211579212272,0.13823644880716476
911,0.048625973999922606,0.03651181502458853,0.01068675841392882,0.15137255732819102
912,0.040421520722245426,0.030390363917853627,0.00692544198588017,0.11561866238821004
913,0.03189279797940716,0.02047659093398666,0.0041249670482704425,0.08159178331249486
914,0.021226958406306916,0.016242674177690163,0.0006610110874525554,0.05228819829726316
915,0.021168801512061443,0.01679622968900538,0.0007203352113407846,0.051820445989163716
916,0.02112210974579593,0.01634620201331074,0.0005019166138717477,0.05235834533608745
917,0.024528209430382853,0.016646661935479652,0.0014212054171389094,0.05861369781357751
918,0.026718986585791752,0.017708789266059757,0.00221532930200809,0.06330040699378015
919,0.026417144067925707,0.017831483579991744,0.0021422457731598847,0.06253187368066086
920,0.036102250272607286,0.022574389716679577,0.005576648470834063,0.09382395074572637
921,0.033102067528241186,0.021873712985370716,0.004122782579270567,0.08487931503828225
922,0.062404331570516954,0.05316940406202906,0.01600515047541851,0.22784242443407146
923,0.04274407251377967,0.029638786714087633,0.00946682556435681,0.1248228559649095
924,0.05574742872161508,0.04522435718590396,0.014888879928234181,0.17990599881511754
925,0.09185968033944633,0.09930819123061764,0.021636513111947392,0.416286096206457
926,0.0886066577026471,0.09014438113011987,0.021182199552538614,0.3550573618659362
927,0.08201143143413364,0.0836459379218687,0.01985699948100706,0.35367390266965915
928,0.08719095343040131,0.08988617347237245,0.021111661139001987,0.33491915950925294
929,0.06794808394868977,0.06288676103947326,0.01668721331988375,0.26464489536711006
930,0.02121130147795408,0.016160017039238653,0.0005301996250102211,0.05203538135770807
931,0.03285715656274849,0.020356255385358873,0.0043665653949354665,0.08358430937963544
932,0.05430701042297163,0.04761973270300556,0.01224587503485088,0.185440580782881
933,0.04641049249941255,0.03187959587917393,0.010936407481797502,0.13236339142603093
934,0.032395336405419736,0.020928862087142185,0.004123262625501683,0.08411794322498987
935,0.04130078049716088,0.027587116454315885,0.008334586742447029,0.11578135944629528
936,0.04806982040496538,0.03590583064833965,0.010872253133972429,0.14909558770397618
937,0.02710029805949664,0.01799666686668854,0.0022086157835758727,0.06747415000207596
938,0.0506335654766794,0.03834789989459221,0.011451196876023405,0.15906762948239675
