grid_id,resid_s2,resid_viirs,theta_mean
225,,-1.500364803380594,-1.7052178196733614
226,,-1.2386646398580947,-1.706071698238898
227,,-0.9631016819480651,-1.7041419953150743
228,,-0.9438867134268218,-1.7007812320506257
229,,-1.5124900617342096,-1.7079421578461664
230,,-1.210197282906126,-1.7046475280610907
231,,,-1.6955187593943086
232,2.606479279700494,-1.2915012749395705,-1.703923990135643
233,2.3593255486093794,-1.2195247174978558,-1.7031831277752976
234,1.498921011230307,-1.5129225916612052,-1.7058975936682415
235,-0.29333283775237096,-1.2679816082444493,-1.705014453739907
236,0.8234527328696544,-1.8086324386052777,-1.706762079079633
237,0.37837595597535545,-1.2771081673886324,-1.7046281680474369
238,0.049380408608400206,-0.05994171539967404,-1.6974276221902573
239,1.560875581182436,0.2012075799432879,-1.6926500761172103
240,1.8350172677631162,0.4192116733031664,-1.6909074903755854
241,-0.11803594847955834,0.5789190277466124,-1.6914849446969311
242,-0.07791622650895214,0.8377044910277577,-1.6893726944261647
243,-0.5956149614710489,0.8521631014579287,-1.6895815272018513
244,-0.8605181228555061,0.8495625697700909,-1.6896832009711442
